Source,Target,Time,Date
39841f9361a445d1ef3c90f91e04c77b,7f50820301314bcdf237939b396d93e4,02:24:07,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,7154686e147e1ca4ced6c897718c87cf,02:27:59,2016-03-01
837e0ca16d9404f9df37c855de7977de,3ec6ddf0e26ae3c7a4d274ed813e7200,02:29:06,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,7154686e147e1ca4ced6c897718c87cf,02:29:10,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:31,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:36,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:40,2016-03-01
0a4200ede67b7850aa34a11742de2693,c35d296ff3dc9ab531810a1a12c8e3ff,03:00:12,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,8a063704aafc96d024ac0cb86609140b,03:15:07,2016-03-01
39841f9361a445d1ef3c90f91e04c77b,7f50820301314bcdf237939b396d93e4,03:17:40,2016-03-01
7c0c067ee054a033ccb1769ccde7c3e5,24566bdbe19a93c3b46249c9a51fd2ff,03:18:22,2016-03-01
39841f9361a445d1ef3c90f91e04c77b,7f50820301314bcdf237939b396d93e4,02:24:07,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,7154686e147e1ca4ced6c897718c87cf,02:27:59,2016-03-01
837e0ca16d9404f9df37c855de7977de,3ec6ddf0e26ae3c7a4d274ed813e7200,02:29:06,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,7154686e147e1ca4ced6c897718c87cf,02:29:10,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:31,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:36,2016-03-01
f941ccde85f9cb3f565d7870051edd3c,8448b914c25dad60fc99842267bec121,02:41:40,2016-03-01
0a4200ede67b7850aa34a11742de2693,c35d296ff3dc9ab531810a1a12c8e3ff,03:00:12,2016-03-01
c5b90adbaf27ba3bf238f9a66a895bd4,8a063704aafc96d024ac0cb86609140b,03:15:07,2016-03-01
39841f9361a445d1ef3c90f91e04c77b,7f50820301314bcdf237939b396d93e4,03:17:40,2016-03-01
7c0c067ee054a033ccb1769ccde7c3e5,24566bdbe19a93c3b46249c9a51fd2ff,03:18:22,2016-03-01
327ff9dbc104dc9b9ff9851ed0460fde,0b14b0d8350fba37dfcc9234aa701abd,08:23:39,2016-03-01
0517f5a323c88ada34b2e4f89d14e1a4,d4bacce4ee69d0c261f2ef26039175bb,08:23:45,2016-03-01
3a7c14382e2a8e219a208ca41377c39a,198e2a43a724f5debded22ab70ff873f,08:23:45,2016-03-01
270beea25f924b8d720755611fa4b4a7,68b5d7e1c30d16cd7a24b7389c1048c2,08:24:16,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:24:32,2016-03-01
2f06ece746ebac7d00f85dc3e87e05d0,8085a28b127e86a83e9b7e6d1a5b1792,08:24:34,2016-03-01
f6e1c2e1b3797ff2cdb87427db80b9bc,c11e44d6cc7f6e046bc4c964369db329,08:24:52,2016-03-01
6719139ab28f3388cb011ece2cd621c4,148b73c9ad2485da42d0de08647caf23,08:24:53,2016-03-01
c3b44d6ddada37dfec881e097a2dbb53,a51db35e3e6ede5fb12d423e75ba5fac,08:24:57,2016-03-01
6719139ab28f3388cb011ece2cd621c4,148b73c9ad2485da42d0de08647caf23,08:25:04,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:25:10,2016-03-01
565bdad03289d6731ed589279312834f,123da1e7018d3d674da37025150dfe33,08:25:11,2016-03-01
7f22efefa6859a0eca3c009dab0209fa,c606ac200e688038718c1460a5111b9e,08:25:17,2016-03-01
3e19c290c4b4de5c243382328d69ebac,af1ffe9f6262eb4542cb41258551dd0e,08:25:19,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:25:27,2016-03-01
a251051b8f96dd850e43079a2a5d5827,85e64e9b48da6a56144784b7d0e23117,08:25:30,2016-03-01
8ee88aebf6cada3f71cbfac707007269,86eb8bc3e39ee22e87dc758864a97d3b,08:25:36,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:25:42,2016-03-01
7f22efefa6859a0eca3c009dab0209fa,c606ac200e688038718c1460a5111b9e,08:25:43,2016-03-01
ab94a12c275b539412c1a2abb895fdfa,d69a4e18577f4ba20c17bc89815206a1,08:25:44,2016-03-01
ab94a12c275b539412c1a2abb895fdfa,d69a4e18577f4ba20c17bc89815206a1,08:25:49,2016-03-01
52ee7511433b42c258cbf3d6fcf99469,93984acaeb4bab9eea1af87156f58eee,08:26:19,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:26:23,2016-03-01
4b1ec3d18cf23395b18b9df42f66c5c3,381ebb5373ead52bd8c4587429201729,08:26:23,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:26:38,2016-03-01
47d75e55f342b0a1043d83e6cae79db7,f070b6e888755e69aa18af30164f77d9,08:26:43,2016-03-01
f39ec43862ff48052dc088d457278749,3ccd5e9e6cca7b53463d19094a2bb06d,08:27:00,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:27:23,2016-03-01
c4f31bccba9cef980f24f89970a78355,ef9d4bd9d7638cf982a2eac710bcecdf,08:27:42,2016-03-01
2412f1de41d21930ff4694ef5f31413b,666d00980cb3618c1a199691d27090cb,08:27:43,2016-03-01
47d75e55f342b0a1043d83e6cae79db7,f070b6e888755e69aa18af30164f77d9,08:27:50,2016-03-01
16224aeb10c2d91a93a0bdc9d32e80d0,9ff19c46cc1c5dd20a5f6d34724aad4e,08:28:19,2016-03-01
69069bc4d143406faef330251fe0fcc2,38b4452ef0e7287ef81e39b7fb33335e,08:28:30,2016-03-01
1e8346910ab6d689513c9fd741ead127,8b95b1c2073e65c27c9e98b066f8f96e,08:28:32,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d8a038ed9bdc6d201ae3680ef47ddc88,08:28:33,2016-03-01
41db2d5b86ba3083441a4d2eb572d0b8,e80800516fa24dd3b40667ca5127bec7,08:28:38,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d8a038ed9bdc6d201ae3680ef47ddc88,08:28:40,2016-03-01
3e539316dd452a8ac314f6136b83da70,7672fd1f15ad66eb378affb81eabf6be,08:28:41,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d8a038ed9bdc6d201ae3680ef47ddc88,08:28:47,2016-03-01
f3e93f70ae209bbbe01f6841736a30f3,ee6026668104689e635d58615ae9d79d,08:28:53,2016-03-01
53e8f2ed1ab4c94a7d4d8fe277ff1cb5,af25d5d5cf16e54880e194f922253844,08:29:02,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d8a038ed9bdc6d201ae3680ef47ddc88,08:29:12,2016-03-01
df247e5219fd692571d229a856876cd9,38465a7ba415197068d5b7a606bf395f,08:29:12,2016-03-01
1e8346910ab6d689513c9fd741ead127,fe66c3f49bc553cf9e1cff3b62a89820,08:29:18,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:29:22,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d99052fe919a38b55e87832b310d8e8b,08:29:33,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:29:37,2016-03-01
1e8346910ab6d689513c9fd741ead127,8b95b1c2073e65c27c9e98b066f8f96e,08:29:40,2016-03-01
4c4f722fee61f8729cbfd3037c39e027,5cd753dc02237f0e41d3cf1139553d75,08:29:45,2016-03-01
eeb8fef3ed333402df9b431b74f19b3a,d99052fe919a38b55e87832b310d8e8b,08:29:46,2016-03-01
501924e4b61f37757a1cdfb2d0844e9e,400f8b2fa0fec8d6efbd6fd0bdc6d319,08:30:04,2016-03-01
1d168b5facd40a7c36debd65da135a73,47c96c7b43bb56cfd5a96111b9d71912,08:30:15,2016-03-01
5d306cebc20f4022f9d69b9ba28dcb5f,ce9831915a32fde00cbb960505147e03,08:30:17,2016-03-01
4c4f722fee61f8729cbfd3037c39e027,5cd753dc02237f0e41d3cf1139553d75,08:30:21,2016-03-01
f100bd43f4b2fd3be648b803be6b4f80,2b4e7b4d08b4d77cdc13d3e2ac34b7a6,08:30:39,2016-03-01
c28d266582abd5bbe8e921bdd5e0d606,c97918614d8ec3976721cf0d37a08ac3,08:30:51,2016-03-01
788975df556c804f42c46795554f3d95,b0e8f2445798155f98afb06a4ee00317,08:31:24,2016-03-01
939e48fc644e395d973339667674af4b,ba1acbf09f182326c4fa759f09100224,08:31:24,2016-03-01
39f1162da064778cdda8d0bcd725e2fa,e8111b9395abdd8decd6b406e4186201,08:31:25,2016-03-01
dfaa5c49a37e98c6b5fb5bf225c6c356,dd8497c2a2047c57fe0b8c2b303d3886,08:31:33,2016-03-01
f988033a9d5b1966946fe9ff15d727e2,f6599bf149ff0e7bc3dd4df4a8565b37,08:31:38,2016-03-01
788975df556c804f42c46795554f3d95,b0e8f2445798155f98afb06a4ee00317,08:31:44,2016-03-01
8cd8e1cd1bb853983a3e71dcf2b3bbca,b7ead2efe48e339d25b3864e209b609d,08:31:51,2016-03-01
927a817bcbde80d69f1058476095b9b3,242bd4892a1e0daa390713bd399f4cbf,08:32:27,2016-03-01
17a4773fb60bdbe39b732a321e929305,e74655ec7cf3e194ab1f60787d44f9bb,08:32:37,2016-03-01
8b6732bd3677b8354f46d44d08cf1510,ad64abaf4ea0c70e3c31ce2669f85c4c,08:32:50,2016-03-01
4161ddfe63f18e0250d86d0fccbab81a,c548b843853e6947e7af230aa87d2f11,08:33:04,2016-03-01
1d4154ed02b2cee6e0e702a444ec47f9,da6eb3f244214c097c78379901d9f069,08:33:13,2016-03-01
3feeda5c7aade1c4d6bf38af063796e7,92cace3bdbfcd5fd7000e1ba8bc162c8,08:33:13,2016-03-01
c4f31bccba9cef980f24f89970a78355,ef9d4bd9d7638cf982a2eac710bcecdf,08:33:14,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:33:23,2016-03-01
3e539316dd452a8ac314f6136b83da70,7672fd1f15ad66eb378affb81eabf6be,08:33:26,2016-03-01
51813099ce8042127d7720c3a64fd9ec,50bbacc4f9e5d788c6d10f0068120e86,08:33:28,2016-03-01
d3bc25327aead5969f355c1760d82433,54a82b36724f4935c517da89766bc505,08:33:33,2016-03-01
501924e4b61f37757a1cdfb2d0844e9e,400f8b2fa0fec8d6efbd6fd0bdc6d319,08:33:42,2016-03-01
3e539316dd452a8ac314f6136b83da70,7672fd1f15ad66eb378affb81eabf6be,08:33:44,2016-03-01
d3bc25327aead5969f355c1760d82433,54a82b36724f4935c517da89766bc505,08:33:47,2016-03-01
f3e93f70ae209bbbe01f6841736a30f3,f8f4fcc5e082ba8c590d55ebc19be4a5,08:33:48,2016-03-01
08eb6d9f93eff218d29d3909c1114b1d,2e0038e904117043bffb1ba49e972c22,08:33:52,2016-03-01
69e62c278ad317f6bca05f52e0a9ebf6,f8470b9f99b1168b749e6fa017e4ce56,08:34:02,2016-03-01
546bbba7e2be4ac9c1ac21df3b9d8c80,48f4033283128bed82d6bb746278ef0d,08:34:10,2016-03-01
56ec23c4cd69a687ff9e82b9f714f2e1,92c7ca8ec8f8c456910408c5b4e9d3d2,08:34:19,2016-03-01
08eb6d9f93eff218d29d3909c1114b1d,2e0038e904117043bffb1ba49e972c22,08:34:19,2016-03-01
eea9f6034a62696dcc0fbd2a0acdd855,80c51de54a18b681cc8e8dbc458244ef,08:34:26,2016-03-01
08eb6d9f93eff218d29d3909c1114b1d,2e0038e904117043bffb1ba49e972c22,08:34:29,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:34:31,2016-03-01
a718ce6bd9c50c05924c48460cb06aac,62be7d73b1acc6c24831bca8f1fd0dfb,08:34:32,2016-03-01
84aa3233b0bdd0a54d25291600eeaed2,288786a47164745ade13aae275f24449,08:34:35,2016-03-01
18eea32d6a209567c58fa71567a03e8a,c0e7dc7022a208b6e7714cdcf33b8034,08:34:38,2016-03-01
69e62c278ad317f6bca05f52e0a9ebf6,f8470b9f99b1168b749e6fa017e4ce56,08:34:38,2016-03-01
f3e93f70ae209bbbe01f6841736a30f3,f8f4fcc5e082ba8c590d55ebc19be4a5,08:34:39,2016-03-01
7f41570807f055cd979662d2fef6f00f,0c3d520a8adb6c980b121155f1382882,08:34:40,2016-03-01
16a66f8b832f94eab7af58e6322901b9,8f64cf99623bda661b4905206aa461ba,08:34:47,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:34:53,2016-03-01
56ec23c4cd69a687ff9e82b9f714f2e1,92c7ca8ec8f8c456910408c5b4e9d3d2,08:34:55,2016-03-01
913e68f807f0872f7a809910b76dc762,175c16623fd848096eeed08a00e91708,08:35:16,2016-03-01
7d5522ffa4e64d229452b8504ce7fe05,0a11be28f22ec854e50cfe8ce9c5e6b1,08:35:28,2016-03-01
dd841afdfc8e38c0221c61d162636b60,757b722efa8520c490312f37741dfcf9,08:35:30,2016-03-01
be6698bc72a7baad978bdf714efe0a62,13a4f4ecfd643c6feb477a7b958604fc,08:35:41,2016-03-01
12cb35432d93b25eb7bd21e73c5b3ce8,82e74596750c8f8229916aca2e55e98d,08:35:41,2016-03-01
53b636eaf9867aaf08ab573aab8acacb,ce9831915a32fde00cbb960505147e03,08:35:44,2016-03-01
5a09e83d6e494f30e2f1924423039acf,11266b6e549d4846bf673325505fe7c3,08:35:48,2016-03-01
